ProductID,Product,Category_ID,Sub_Category,Brand,Sale_Price,Market_Price,Type,Rating
23,"Disinfectant Toilet Cleaner - White & Shine Bleach",5001,"All Purpose Cleaners",Harpic,77,89,"Toilet Cleaners",4.3
24,"Disinfectant Bathroom Cleaner Liquid - Floral",5001,"All Purpose Cleaners",Harpic,307,362,"Toilet Cleaners",4.3
25,"Bathroom Cleaner Liquid - Lemon 1 L + Toilet Cleaner - Bleach, White & Shine - 500 ml",5001,"All Purpose Cleaners",Harpic,228,270,"Toilet Cleaners",
26,"Disinfectant Spray Sanitizer For Germ-Protection - Original Pine",5001,"All Purpose Cleaners",Dettol,287,318,"Disinfectant Spray & Cleaners",4.2
27,"Dranex Drain Cleaner",5001,"All Purpose Cleaners",Kiwi,128,135,"Kitchen, Glass & Drain",4.3
28,"Kitchen Cleaner - Powers Through Grease & Grime",5001,"All Purpose Cleaners","Mr Muscle",112,130,"Kitchen, Glass & Drain",4.3
29,"Bathroom Cleaner Liquid 1 L + Lizol Double Concentrate Surface Cleaner 900 ml",5001,"All Purpose Cleaners",Harpic,404,506,"Toilet Cleaners",
30,"Disinfectant Surface & Floor Cleaner - [Floral 2 L + Lavender 2 L]",5001,"All Purpose Cleaners",Lizol,652,724,"Floor & Other Cleaners",
31,"Disinfectant Toilet Cleaner Liquid - Rose",5001,"All Purpose Cleaners",Harpic,479,534,"Toilet Cleaners",4.4
32,"Glass Cleaner Liquid Refill Pack - Cleans Mirror, Car & Home Appliances",5001,"All Purpose Cleaners",Colin,139,159,"Kitchen, Glass & Drain",4.2
33,"Fresh Guard Ocean Fresh Disinfectant Toilet Cleaner",5001,"All Purpose Cleaners",Domex,92,135,"Toilet Cleaners",4.2
34,"Hygiene Liquid- Lime Fresh 500 ml + Disinfectant Spray- Original 225 ml",5001,"All Purpose Cleaners",Dettol,296,352,"Disinfectant Spray & Cleaners",
35,"Colin Cleaner - Glass and Household 500 ml + Scotch Brite Sponge Wipe Large 1 pc",5001,"All Purpose Cleaners","bb Combo",155,163,"Kitchen, Glass & Drain",
36,"Toilet Cleaner - Lime Fresh",5001,"All Purpose Cleaners",Domex,174,260,"Toilet Cleaners",4.2
37,"Disinfectant Skin & Surface Wipes, Original 40 Count + Lime Fresh 500 ml",5001,"All Purpose Cleaners",Dettol,260,322,"Wet Wipe, Pocket Tissues",
38,"Lime Fresh 500 ml + Laundry San- Fresh Linen 480 ml",5001,"All Purpose Cleaners",Dettol,303,363,"Disinfectant Spray & Cleaners",
39,"Toilet Cleaner - Original",5001,"All Purpose Cleaners","BB Home",118,168,"Toilet Cleaners",4
40,"Lime Fresh 500 ml + Laundry San- Spring Blossom 480 ml",5001,"All Purpose Cleaners",Dettol,303,363,"Disinfectant Spray & Cleaners",
41,"Flushmatic In-Cistern Toilet Cleaner Blocks - Aquamarine",5001,"All Purpose Cleaners",Harpic,264,292,"Toilet Cleaners",4.2
42,"After Wash Liquid Laundry Sanitizer - Fresh Linen",5001,"All Purpose Cleaners",Dettol,261,290,"Fabric Pre, Post Wash",4.1
43,"Floor Cleaner",5001,"All Purpose Cleaners",Domex,150,189,"Floor & Other Cleaners",4.3
44,"Glass & Household Cleaner 500 ml + Glass Cleaner Liquid Refill Pack 1 L",5001,"All Purpose Cleaners",Colin,219,252,"Kitchen, Glass & Drain",
45,"Disinfectant Floor & Surface Cleaner - Citrus, Kills 99.9% Germs",5001,"All Purpose Cleaners","BB Home",98,98,"Floor & Other Cleaners",4
46,"Floor Cleaner - Herbal",5001,"All Purpose Cleaners",Nimyle,270,300,"Floor & Other Cleaners",4.4
47,"Mop Bucket 360 Degree Spin with 2 Refills,Blue 1pc + Floor Cleaner-Citrus 500ml",5001,"All Purpose Cleaners","BB Home",697,1188,"Mops, Wipers",
48,"After Wash Liquid Laundry Sanitizer - Spring Blossom",5001,"All Purpose Cleaners",Dettol,261,290,"Fabric Pre, Post Wash",4.2
49,"Hygienic Toilet Rim Block - Lavender",5001,"All Purpose Cleaners",Harpic,133,156,"Toilet Cleaners",4.1
50,"Toilet Cleaner Expert - Original",5001,"All Purpose Cleaners",Domex,150,180,"Toilet Cleaners",4.3
2044,"Herbal Lavender & Ylang Ylang Body Wash",5008,"Bath & Hand Wash","Khadi Natural",160,160,"Shower Gel & Body Wash",4.7
2045,"Jasmine Heart Bath Personal Care Gift Set",5008,"Bath & Hand Wash",Soulflower,1600,2000,"Bath Salts & Oils",
2046,"Tea Tree Soap",5008,"Bath & Hand Wash","Swati Khadi",150,150,"Bathing Bars & Soaps",4.2
2047,"Bath Brush - Large Mesh, Custard Cream",5008,"Bath & Hand Wash",Panache,159,199,"Bathing Accessories",3.5
2048,"Full Body Roller Massager - Colour May Vary",5008,"Bath & Hand Wash",Panache,639,799,"Bathing Accessories",5
2049,"Himalayan Rose Collection Gift Set",5008,"Bath & Hand Wash","Fizzy Fern",1602,1885,"Shower Gel & Body Wash",5
2050,"Chirpy Charcoal Gift Set",5008,"Bath & Hand Wash","Fizzy Fern",1415,1665,"Shower Gel & Body Wash",
2051,"Baby Body Wash",5008,"Bath & Hand Wash","Continent Spice Khadi",650,650,"Shower Gel & Body Wash",
2052,"All In Wash",5008,"Bath & Hand Wash",QRAA,210,210,"Bath & Shower",1
2053,"Everyday Ritual Set",5008,"Bath & Hand Wash",BodyHerbals,1499,1499,"Bath Salts & Oils",5
2054,"Tea Tree & Acitivated Charcoal Soap",5008,"Bath & Hand Wash","Natural Vibes",249,249,"Bathing Bars & Soaps",5
2055,"Strawberry Bathing Soap",5008,"Bath & Hand Wash",INATUR,200,200,"Bathing Bars & Soaps",
2056,"Herbal Rose & Honey Body Wash - SLS & Paraben Free",5008,"Bath & Hand Wash","Khadi Natural",250,250,"Shower Gel & Body Wash",3.8
2057,"Almond Body Care Cleanser",5008,"Bath & Hand Wash","Shahnaz Husain",305,305,"Shower Gel & Body Wash",
2058,"Protect Handwash Liquid With Lavender Fragrance",5008,"Bath & Hand Wash","Dr. Morepen",212,249,"Hand Wash & Sanitizers",5
2059,"Lavender & Peppermint Soap - Cooling, Refreshing",5008,"Bath & Hand Wash",Callesta,275,275,"Bathing Bars & Soaps",2
2060,"Herbal Mango Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.4
2061,"Orange Soap",5008,"Bath & Hand Wash","Khadi Natural",210,210,"Bathing Bars & Soaps",4.4
2062,"Sensual - Handmade Jasmine Bathing Bar With Natural Chunks",5008,"Bath & Hand Wash",BodyHerbals,199,199,"Bathing Bars & Soaps",2
2063,"Almond Cream Beauty Bathing Bar",5008,"Bath & Hand Wash",Dove,199,199,"Bathing Bars & Soaps",4.5
2064,"Herbal Green Tea Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.2
2065,"For You Gift Set",5008,"Bath & Hand Wash",Soulflower,770,1100,"Body Scrubs & Exfoliants",
2066,"Body Scrubber",5008,"Bath & Hand Wash","Ezy Be",228,228,"Bathing Accessories",4.7
2067,"Tuberose & Ylang Ylang Infused Natural Glycerin Soap",5008,"Bath & Hand Wash","The Earth Reserve",345,345,"Bathing Bars & Soaps",
2068,"Bergamot Delight Handwash Refill",5008,"Bath & Hand Wash",Lux,55,55,"Hand Wash & Sanitizers",4
2069,"Prickly Heat Powder - Sandal",5008,"Bath & Hand Wash","Dermi Cool",20,20,"Talcum Powder",4.3
2070,"Liquid Handwash - Sea Minerals, Refill Pack",5008,"Bath & Hand Wash",Palmolive,49,49,"Hand Wash & Sanitizers",4.2
2071,"Herbal Pineapple Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.3
2072,"Lemon & Pine Foaming Body Wash",5008,"Bath & Hand Wash","Wow Skin Science",299,299,"Shower Gel & Body Wash",4.7
2073,"Rose Otto Foaming Body Wash",5008,"Bath & Hand Wash","Wow Skin Science",299,299,"Shower Gel & Body Wash",4
2074,"Strawberry & Peach Foaming Body Wash",5008,"Bath & Hand Wash","Wow Skin Science",299,299,"Shower Gel & Body Wash",4
2075,"Herbal Papaya Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.1
2076,"Herbal Peach Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.5
2077,"Herbal Avocado Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.2
2078,"Herbal Watermelon Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4
2079,"Herbal Vanilla Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.5
2080,"Herbal White Musk Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",3.9
2081,"Herbal Coconut Milk & Honey Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.2
2082,"Herbal Charcoal Soap",5008,"Bath & Hand Wash","Khadi Natural",85,85,"Bathing Bars & Soaps",4.4
2083,"Talc - Sandal",5008,"Bath & Hand Wash",Premium,165,165,"Talcum Powder",4.1
2084,"Cooling Mint Soap",5008,"Bath & Hand Wash",Liril,30,30,"Bathing Bars & Soaps",4.2
2085,"Mild Hand Wash - Lotus & Tulsi",5008,"Bath & Hand Wash",Santoor,40,40,"Hand Wash & Sanitizers",4.2
2086,"Soap - Creme Care",5008,"Bath & Hand Wash",Nivea,100,100,"Bathing Bars & Soaps",4
2087,"Body Wash - Lemon Fresh",5008,"Bath & Hand Wash",Lifebuoy,89,89,"Shower Gel & Body Wash",4.2
2088,"Nimba Purifying Soap",5008,"Bath & Hand Wash","Kama Ayurveda",250,250,"Bathing Bars & Soaps",
2089,"Foot Scraper - Shaina With Stainless Steel Head & Nylon Brush",5008,"Bath & Hand Wash",La-par,130,130,"Bathing Accessories",4
2090,"Baby Wash - Tear Free Gentle Cleansing For Hair & Body",5008,"Bath & Hand Wash","Mom & World",399,399,"Shower Gel & Body Wash",2
2091,"Jasmine Bathing Soap - Co-Created With Moms",5008,"Bath & Hand Wash",Dettol,260,260,"Bathing Bars & Soaps",4.3
2092,"Hypnotic Rose Soap Bar",5008,"Bath & Hand Wash",Lux,28,28,"Bathing Bars & Soaps",4.2
2093,"Small Brush HC-14",5008,"Bath & Hand Wash","Bare Essentials",99,110,"Bathing Accessories",3.3
2094,"Remedies Shea & Cocoa Butter Handmade Luxury Soap",5008,"Bath & Hand Wash",Morpheme,349,349,"Bathing Bars & Soaps",1
2095,"Remedies White Tea & Ginger Handmade Luxury Soap",5008,"Bath & Hand Wash",Morpheme,275,275,"Bathing Bars & Soaps",
2096,"Wild Cherries & Kiwi Body Scrub",5008,"Bath & Hand Wash",Plum,650,650,"Body Scrubs & Exfoliants",5
2097,"Citrus Blast Orange Lemon Soap Free Body Wash",5008,"Bath & Hand Wash",Fuschia,225,250,"Shower Gel & Body Wash",3.7
2098,"Cucumber Detox Natural Handmade Herbal Soap",5008,"Bath & Hand Wash",Fuschia,225,250,"Bathing Bars & Soaps",
2099,"Noori Mukkhalat Middle Eastern Handmade Soap",5008,"Bath & Hand Wash",Nyassa,450,450,"Bathing Bars & Soaps",4.5
2100,"Spanish Saffron Bathing Bar",5008,"Bath & Hand Wash","Natures Essence",157,165,"Bathing Bars & Soaps",4
2101,"Neem Tulsi Tea Tree Body Scrub",5008,"Bath & Hand Wash","Kama Ayurveda",1495,1495,"Body Scrubs & Exfoliants",
2102,"Lavender Try Me Personal Care Gift Set",5008,"Bath & Hand Wash",Soulflower,850,1000,"Bathing Bars & Soaps",5
2103,"Scrubber - Braided Back",5008,"Bath & Hand Wash","Bare Essentials",158,175,"Bathing Accessories",4.6
2104,"Brush & Pumice - Foot (with Handle)",5008,"Bath & Hand Wash","Bare Essentials",135,150,"Bathing Accessories",4
2105,"Radiance - Handmade Orange & Neroli Bathing Bar With Natural Chunks",5008,"Bath & Hand Wash",BodyHerbals,199,199,"Bathing Bars & Soaps",
2106,"Herbal Lavender & Ylang Ylang Body Wash",5008,"Bath & Hand Wash","Khadi Natural",160,160,"Shower Gel & Body Wash",4.7
2107,"Jasmine Heart Bath Personal Care Gift Set",5008,"Bath & Hand Wash",Soulflower,1600,2000,"Bath Salts & Oils",
2108,"Gentleman Classic Talc For Men",5008,"Bath & Hand Wash","Yardley London",89,99,Talc,4.4
2109,"Prickly Heat Powder - Cool Chandan With Sandalwood Fragrance",5008,"Bath & Hand Wash",Nycil,110,110,"Talcum Powder",5
2110,"Natural Handmade Herbal Soap - Aloe Vera",5008,"Bath & Hand Wash",Fuschia,225,250,"Bathing Bars & Soaps",
2111,"Ayurvedic Prickly Heat Powder - Sandal",5008,"Bath & Hand Wash","Shower To Shower",60,75,"Talcum Powder",3.3
2112,"Luxury Bathing Bar - Cinnamon & Patchouili",5008,"Bath & Hand Wash",50ap,85,85,"Bathing Bars & Soaps",4
2113,"Cedarwood Luxury Shower Gel",5008,"Bath & Hand Wash","Aloe Veda",189,210,"Shower Gel & Body Wash",4.4
2114,"Poppy Seed Natural Handmade Herbal Soap",5008,"Bath & Hand Wash",Fuschia,250,250,"Bathing Bars & Soaps",
2115,"Pumice Stone & Emery Foot Filer - FFL3407, Colour May Vary",5008,"Bath & Hand Wash",Kaiv,175,175,"Bathing Accessories",3.8
2116,"Dual Sided Foot File - Crystal Clear Transparent, Colour May Vary",5008,"Bath & Hand Wash",Panache,159,159,"Bathing Accessories",
2117,"Shower Sponge - Purple & White, Colour May Vary",5008,"Bath & Hand Wash",Panache,159,199,"Bathing Accessories",
2118,"Life On Coconut Shampoo & Shower Gel",5008,"Bath & Hand Wash",Nike,299,299,"Shower Gel & Body Wash",
2119,"Classic Sandalwood & Tulsi Hand Wash",5008,"Bath & Hand Wash",Santoor,209,209,"Hand Wash & Sanitizers",3.8
2120,"White Objective Moussant",5008,"Bath & Hand Wash",Bioderma,1590,1590,"Shower Gel & Body Wash",
2121,"Handwash - Tempting Whisper",5008,"Bath & Hand Wash",Lux,95,95,"Hand Wash & Sanitizers",4.1
2122,"Almond Cream Beauty Bathing Bar",5008,"Bath & Hand Wash",Dove,199,199,"Bathing Bars & Soaps",4.5
2123,"Herbal Green Tea Soap",5008,"Bath & Hand Wash","Khadi Natural",70,70,"Bathing Bars & Soaps",4.2
2124,"Lavender Florets Bath Salt",5008,"Bath & Hand Wash",Fuschia,405,450,"Bath Salts & Oils",1
2125,"After Bath Oil - Chocolate Vanilla",5008,"Bath & Hand Wash","Aloe Veda",975,975,"Bath Salts & Oils",
2126,"Bath Brush - Sisal",5008,"Bath & Hand Wash","Bare Essentials",293,325,"Bathing Accessories",1.5
2127,"Lavender Hexagon Festive Gift Set For Skin & Hair Care",5008,"Bath & Hand Wash",Soulflower,1050,1500,"Bathing Bars & Soaps",
2128,"Rose Hexagon Bath Gift Set - 100% Natural & Organic",5008,"Bath & Hand Wash",Soulflower,1050,1500,"Bathing Bars & Soaps",
2129,"Kids 3-in-1 Tip To Toe Wash - Mango",5008,"Bath & Hand Wash","Wow Skin Science",305,399,"Shower Gel & Body Wash",4
2130,"Cold Processed Apple Mangosteen Handmade Soap for Natural Glow",5008,"Bath & Hand Wash",Soulflower,340,400,"Bathing Bars & Soaps",4
2131,"Lemongrass Hexagon Bath Personal Care Gift Set",5008,"Bath & Hand Wash",Soulflower,1050,1500,"Bathing Bars & Soaps",
2132,"Naked & Raw Coffee Body Scrub - Coconut, Tan Removal, Oily/Normal Skin",5008,"Bath & Hand Wash",MCaffeine,425,449,"Body Scrubs & Exfoliants",4.7
2133,"Lavender Heart Bath Gift Set For Skin & Hair",5008,"Bath & Hand Wash",Soulflower,1400,2000,"Bath Salts & Oils",
2134,"Lemongrass Try Me Personal Care Gift Set",5008,"Bath & Hand Wash",Soulflower,750,1000,"Bathing Bars & Soaps",
2135,"Body Bath Dual Sided Hangable Loofah/Sponge/Scrubber - Cream, BB1422",5008,"Bath & Hand Wash",Muyi,99,149,"Bathing Accessories",
2136,"Body Bath Dual Sided Hangable Loofah/Sponge/Scrubber - Cream, BB1424",5008,"Bath & Hand Wash",Muyi,99,149,"Bathing Accessories",
2137,"Loofah Stamps - Colour May Vary",5008,"Bath & Hand Wash",Panache,192,240,"Bathing Accessories",1
2138,"Panache Shower Sponge - Red & White, Colour May Vary",5008,"Bath & Hand Wash",Panache,159,199,"Bathing Accessories",5
2139,"Shower Sponge - Orange & White, Colour May Vary",5008,"Bath & Hand Wash",Panache,159,199,"Bathing Accessories",
2140,"Popular Plastic Strip Bucket - Blue",5001,"Bins & Bathroom Ware","BB Home",129,199,"Buckets & Mugs",4.1
2141,"Popular Plastic Strip Bucket - Pink",5001,"Bins & Bathroom Ware","BB Home",109,169,"Buckets & Mugs",4.2
2142,"Popular Plastic Bathing Mug - Pink",5001,"Bins & Bathroom Ware","BB Home",25,35,"Buckets & Mugs",4.1
2143,"Joyo Pedal Dustbin - Assorted 7 lt + bb Home Floor Cleaner - Citrus 500 ml",5001,"Bins & Bathroom Ware","bb Combo",267,344,Dustbins,
2144,"Pedal Plastic Dustbin / Garbage Bin - Assorted",5001,"Bins & Bathroom Ware",JOYO,169,246,Dustbins,2.7
2145,"Frosty Plastic Bucket - Pink",5001,"Bins & Bathroom Ware","BB Home",109,179,"Buckets & Mugs",
2146,"Premium Plastic Bucket - Green",5001,"Bins & Bathroom Ware","BB Home",199,280,"Buckets & Mugs",4.3
2147,"Dove Plastic Soap Case - Assorted Colour",5001,"Bins & Bathroom Ware",Nakoda,49,59,"Soap Cases & Dispensers",4
2148,"Premium High Quality Dustbin /Wastebin/Paperbin - Green",5001,"Bins & Bathroom Ware","BB Home",129,199,Dustbins,4.3
2149,"Duplex Plastic Bucket - Brown",5001,"Bins & Bathroom Ware",Milton,359,450,"Buckets & Mugs",4.5
2150,"Elegance Plastic Laundry Basket - Assorted Colour",5001,"Bins & Bathroom Ware",Polyset,809,1319,"Laundry, Storage Baskets",3.3
2151,"Plastic Printed Pedal Plastic Dustbin / Garbage Bin - Assorted Colour",5001,"Bins & Bathroom Ware",JOYO,429,609,Dustbins,2.7
2152,"Premium Plastic Bucket - Stone Grey",5001,"Bins & Bathroom Ware","BB Home",199,280,"Buckets & Mugs",4
2153,"Premium Plastic Bathing Mug - Red",5001,"Bins & Bathroom Ware","BB Home",58,70,"Buckets & Mugs",4.2
2154,"Aries Plastic Basket 333",5001,"Bins & Bathroom Ware",Nakoda,379,487,"Laundry, Storage Baskets",4
2155,"Duplex Plastic Mug - Blue",5001,"Bins & Bathroom Ware",Milton,69,80,"Buckets & Mugs",4.1
2156,"Bathing/Cleaning Bucket - Blue, New Frosty",5001,"Bins & Bathroom Ware",Princeware,69,100,"Buckets & Mugs",3.5
2157,"Duplex Plastic Mug - Grey",5001,"Bins & Bathroom Ware",Milton,49,62,"Buckets & Mugs",3.9
2158,"Multipurpose Plastic Oil Can & Dispenser - Assorted Colour",5001,"Bins & Bathroom Ware",Aristo,89,109,"Other Plastic Ware",3.5
2159,"Plastic Tub - Assorted Colour, Modern",5001,"Bins & Bathroom Ware",Nakoda,409,414,"Bath Stool, Basin & Sets",3.7
2160,"Bathing/Cleaning Bucket - Mango Yellow, New Frosty",5001,"Bins & Bathroom Ware",Princeware,69,100,"Buckets & Mugs",3.7
2161,"Duplex Plastic Mug - Brown",5001,"Bins & Bathroom Ware",Milton,49,62,"Buckets & Mugs",4
2162,"Excel Plastic Laundry Basket - Medium",5001,"Bins & Bathroom Ware",Nakoda,429,546,"Laundry, Storage Baskets",3.8
2163,"Duplex Plastic Mug - Grey",5001,"Bins & Bathroom Ware",Milton,69,80,"Buckets & Mugs",4.2
2164,"Titan Plastic Square Masala Box - Assorted Colour",5001,"Bins & Bathroom Ware",Nakoda,179,222,"Laundry, Storage Baskets",4.1
2165,"Classic Plastic Dustbin / Garbage Bin - Brown",5001,"Bins & Bathroom Ware",Cello,479,546,Dustbins,3.1
2166,"Duplex Plastic Mug - Brown",5001,"Bins & Bathroom Ware",Milton,69,80,"Buckets & Mugs",4.6
2167,"Printed Plastic Stool/Patla Medium",5001,"Bins & Bathroom Ware",JOYO,249,473,"Bath Stool, Basin & Sets",3.6
2168,"Super Deluxe Plastic Bucket Printed - Pink Colour",5001,"Bins & Bathroom Ware",Princeware,149,199,"Buckets & Mugs",3.5
2169,"Plastic Pedal Dustbin / Garbage Bin - Mini, Round, Blue",5001,"Bins & Bathroom Ware",Princeware,169,285,Dustbins,3.5
2170,"Bathing/Cleaning Bucket - With Plastic Handle, Blue, L1145PH-LT BL",5001,"Bins & Bathroom Ware",Princeware,249,408,"Buckets & Mugs",4.1
2171,"Comfort Bathroom Stool Plastic/Patla - Plain, Small, Assorted",5001,"Bins & Bathroom Ware",JOYO,139,227,"Bath Stool, Basin & Sets",3.5
2172,"Super Deluxe Plastic Bucket Printed - Ivory Colour",5001,"Bins & Bathroom Ware",Princeware,149,199,"Buckets & Mugs",3.4
2173,"Nebula Masala Box/Spice Container Round - Assorted Colour",5001,"Bins & Bathroom Ware",Nakoda,239,310,"Laundry, Storage Baskets",4.3
2174,"Open Plastic Dustbin / Garbage Bin - Ringo",5001,"Bins & Bathroom Ware",Nakoda,139,172,Dustbins,3.9
2175,"Plastic Dustbin / Garbage Bin - Small, Multicolour, Deluxe",5001,"Bins & Bathroom Ware",Princeware,109,209,Dustbins,3.6
2176,"Dove Designer 2 In One Soap Case - Assorted Colour",5001,"Bins & Bathroom Ware",Nakoda,88,88,"Soap Cases & Dispensers",3.7
2177,"Sink Drainer - Plastic",5001,"Bins & Bathroom Ware",Kvg,29,39,"Other Plastic Ware",3.9
2178,"Better Home Bucket - Printed, Assorted",5001,"Bins & Bathroom Ware",JOYO,369,472,"Buckets & Mugs",3.8
2179,"Plastic Dustbin / Garbage Bin swing with Lid - Grey Colour",5001,"Bins & Bathroom Ware",Princeware,299,542,Dustbins,2.4
2180,"Bathing/Cleaning Bucket - With Plastic Handle, Mango Yellow, L1145PH-LT MY",5001,"Bins & Bathroom Ware",Princeware,249,408,"Buckets & Mugs",4.4
2181,"Plastic Pedal Dustbin / Garbage Bin - Small, Silver, Bon Bon, 12071-S",5001,"Bins & Bathroom Ware",Ratan,169,238,Dustbins,2.4
2182,"Soap Case - Translucent Blue",5001,"Bins & Bathroom Ware",Laplast,29,49,"Soap Cases & Dispensers",4
2183,"Better Home Square Plastic Multipurpose Fruits/Vegetable Basket - Assorted Colour",5001,"Bins & Bathroom Ware",JOYO,139,260,"Laundry, Storage Baskets",4.1
2184,"Apollo Plastic Jalli Dustbin / Garbage Bin - Assorted Colour",5001,"Bins & Bathroom Ware",Aristo,92,92,Dustbins,3.2
2185,"Plastic Laundry/Clothes Basket - With Lid, Blue, 12131-B",5001,"Bins & Bathroom Ware",Ratan,359,579,"Laundry, Storage Baskets",3.9
2186,"Dune Plastic Basket 333 With Lid",5001,"Bins & Bathroom Ware",Nakoda,199,245,"Laundry, Storage Baskets",3
2187,"Kitchen Multiutility Plastic Tray - Blue, Maharaja",5001,"Bins & Bathroom Ware",Princeware,219,416,"Laundry, Storage Baskets",4.1
2188,"Java Plastic Dustbin / Garbage Bin - Matt Brown",5001,"Bins & Bathroom Ware",Polyset,369,539,Dustbins,3
2189,"Mozaic Plastic Bucket - Pink",5001,"Bins & Bathroom Ware",Milton,429,550,"Buckets & Mugs",4.3
2190,"Plastic Dustbin / Garbage Bin without Lid - Blue Colour",5001,"Bins & Bathroom Ware",Princeware,139,199,Dustbins,3.9
2191,"Ace Premium Plastic Hanger /Cloth Hanger - Assorted Colour",5001,"Bins & Bathroom Ware",Swastik,149,176,"Hangers, Clips & Rope",3.7
2192,"Marvel Plastic Bathroom Patla & Stool - Plain, Assorted Colour",5001,"Bins & Bathroom Ware",Aristo,195,195,"Bath Stool, Basin & Sets",3.8
2193,"Classic Plastic Dustbin / Garbage Bin - Ivory",5001,"Bins & Bathroom Ware",Cello,479,546,Dustbins,3.3
2194,"Bathing/Cleaning Bucket - With Plastic Handle, Pink, L1145PH-LT PK",5001,"Bins & Bathroom Ware",Princeware,249,408,"Buckets & Mugs",4.2
